e_size,associativity,e_block_size,hit_w_policy,miss_w_polich,miss_rate
15,1,6,1,0,0.9962
15,2,6,1,0,0.9962
15,3,6,1,0,0.9961
15,4,6,1,0,0.9962
15,5,6,1,0,0.9962
15,6,6,1,0,0.9831
15,7,6,1,0,0.9761
15,8,6,1,0,0.9961
15,9,6,1,0,0.9962
15,10,6,1,0,0.9962
15,11,6,1,0,0.9813
15,12,6,1,0,0.9937
15,13,6,1,0,0.98
15,14,6,1,0,0.9521
15,15,6,1,0,0.9502
15,16,6,1,0,0.9962
15,17,6,1,0,0.9962
15,18,6,1,0,0.9962
15,19,6,1,0,0.9747
15,20,6,1,0,0.9962
15,21,6,1,0,0.9857
15,22,6,1,0,0.9962
15,23,6,1,0,0.977
15,24,6,1,0,0.9751
15,25,6,1,0,0.9505
15,26,6,1,0,0.9512
15,27,6,1,0,0.9515
15,28,6,1,0,0.9503
15,29,6,1,0,0.9489
15,30,6,1,0,0.9489
15,31,6,1,0,0.9485
15,32,6,1,0,0.9962
16,1,6,1,0,0.9962
16,2,6,1,0,0.9961
16,3,6,1,0,0.9779
16,4,6,1,0,0.9962
16,5,6,1,0,0.9745
16,6,6,1,0,0.965
16,7,6,1,0,0.9599
16,8,6,1,0,0.9956
16,9,6,1,0,0.9631
16,10,6,1,0,0.9581
16,11,6,1,0,0.956
16,12,6,1,0,0.9509
16,13,6,1,0,0.948
16,14,6,1,0,0.9428
16,15,6,1,0,0.9388
16,16,6,1,0,0.9955
16,17,6,1,0,0.9489
16,18,6,1,0,0.9468
16,19,6,1,0,0.9462
16,20,6,1,0,0.945
16,21,6,1,0,0.9416
16,22,6,1,0,0.939
16,23,6,1,0,0.9352
16,24,6,1,0,0.9351
16,25,6,1,0,0.9315
16,26,6,1,0,0.9292
16,27,6,1,0,0.9271
16,28,6,1,0,0.9244
16,29,6,1,0,0.9208
16,30,6,1,0,0.9182
16,31,6,1,0,0.9123
16,32,6,1,0,0.9959
17,1,6,1,0,0.9962
17,2,6,1,0,0.9961
17,3,6,1,0,0.9454
17,4,6,1,0,0.996
17,5,6,1,0,0.9303
17,6,6,1,0,0.9252
17,7,6,1,0,0.9235
17,8,6,1,0,0.9958
17,9,6,1,0,0.9236
17,10,6,1,0,0.9223
17,11,6,1,0,0.9182
17,12,6,1,0,0.914
17,13,6,1,0,0.913
17,14,6,1,0,0.9078
17,15,6,1,0,0.9039
17,16,6,1,0,0.9952
17,17,6,1,0,0.912
17,18,6,1,0,0.9092
17,19,6,1,0,0.9083
17,20,6,1,0,0.9053
17,21,6,1,0,0.9036
17,22,6,1,0,0.8991
17,23,6,1,0,0.8972
17,24,6,1,0,0.8933
17,25,6,1,0,0.8923
17,26,6,1,0,0.8883
17,27,6,1,0,0.8839
17,28,6,1,0,0.8801
17,29,6,1,0,0.8777
17,30,6,1,0,0.8738
17,31,6,1,0,0.8705
17,32,6,1,0,0.9956
18,1,6,1,0,0.9962
18,2,6,1,0,0.9961
18,3,6,1,0,0.8991
18,4,6,1,0,0.9961
18,5,6,1,0,0.9043
18,6,6,1,0,0.8846
18,7,6,1,0,0.8329
18,8,6,1,0,0.9955
18,9,6,1,0,0.8595
18,10,6,1,0,0.8575
18,11,6,1,0,0.8585
18,12,6,1,0,0.8363
18,13,6,1,0,0.8323
18,14,6,1,0,0.8282
18,15,6,1,0,0.8223
18,16,6,1,0,0.9957
18,17,6,1,0,0.8546
18,18,6,1,0,0.854
18,19,6,1,0,0.8548
18,20,6,1,0,0.852
18,21,6,1,0,0.8492
18,22,6,1,0,0.8331
18,23,6,1,0,0.8337
18,24,6,1,0,0.8325
18,25,6,1,0,0.8311
18,26,6,1,0,0.8294
18,27,6,1,0,0.8274
18,28,6,1,0,0.8234
18,29,6,1,0,0.8268
18,30,6,1,0,0.8237
18,31,6,1,0,0.8191
18,32,6,1,0,0.9953
19,1,6,1,0,0.9962
19,2,6,1,0,0.9961
19,3,6,1,0,0.9915
19,4,6,1,0,0.9959
19,5,6,1,0,0.9944
19,6,6,1,0,0.7298
19,7,6,1,0,0.6858
19,8,6,1,0,0.9946
19,9,6,1,0,0.996
19,10,6,1,0,0.7173
19,11,6,1,0,0.7012
19,12,6,1,0,0.6862
19,13,6,1,0,0.6812
19,14,6,1,0,0.6499
19,15,6,1,0,0.639
19,16,6,1,0,0.9956
19,17,6,1,0,0.6691
19,18,6,1,0,0.9959
19,19,6,1,0,0.6503
19,20,6,1,0,0.6588
19,21,6,1,0,0.6672
19,22,6,1,0,0.6718
19,23,6,1,0,0.6726
19,24,6,1,0,0.6731
19,25,6,1,0,0.673
19,26,6,1,0,0.6683
19,27,6,1,0,0.6622
19,28,6,1,0,0.6555
19,29,6,1,0,0.6543
19,30,6,1,0,0.644
19,31,6,1,0,0.6373
19,32,6,1,0,0.9944
20,1,6,1,0,0.9962
20,2,6,1,0,0.9959
20,3,6,1,0,0.7367
