e_size,associativity,e_block_size,hit_w_policy,miss_w_polich,miss_rate
15, 8, 4, 1, 0, 0.996700,
15, 8, 5, 1, 0, 0.996500,
15, 8, 6, 1, 0, 0.996200,
15, 8, 7, 1, 0, 0.578600,
15, 8, 8, 1, 0, 0.351800,
15, 8, 9, 1, 0, 0.234600,
16, 8, 4, 1, 0, 0.996600,
16, 8, 5, 1, 0, 0.992000,
16, 8, 6, 1, 0, 0.986100,
16, 8, 7, 1, 0, 0.581900,
16, 8, 8, 1, 0, 0.359300,
16, 8, 9, 1, 0, 0.253300,
17, 8, 4, 1, 0, 0.996600,
17, 8, 5, 1, 0, 0.985800,
17, 8, 6, 1, 0, 0.975400,
17, 8, 7, 1, 0, 0.572300,
17, 8, 8, 1, 0, 0.347000,
17, 8, 9, 1, 0, 0.230100,
18, 8, 4, 1, 0, 0.996500,
18, 8, 5, 1, 0, 0.996400,
18, 8, 6, 1, 0, 0.969000,
18, 8, 7, 1, 0, 0.557700,
18, 8, 8, 1, 0, 0.326600,
18, 8, 9, 1, 0, 0.205900,
19, 8, 4, 1, 0, 0.996500,
19, 8, 5, 1, 0, 0.960500,
19, 8, 6, 1, 0, 0.996000,
19, 8, 7, 1, 0, 0.509800,
19, 8, 8, 1, 0, 0.296900,
19, 8, 9, 1, 0, 0.179900,
20, 8, 4, 1, 0, 0.995400,
20, 8, 5, 1, 0, 0.957900,
20, 8, 6, 1, 0, 0.898900,
20, 8, 7, 1, 0, 0.550700,
20, 8, 8, 1, 0, 0.256100,
20, 8, 9, 1, 0, 0.156600,
21, 8, 4, 1, 0, 0.993900,
21, 8, 5, 1, 0, 0.874700,
21, 8, 6, 1, 0, 0.979200,
21, 8, 7, 1, 0, 0.483900,
21, 8, 8, 1, 0, 0.306700,
21, 8, 9, 1, 0, 0.149500,
22, 8, 4, 1, 0, 0.991400,
22, 8, 5, 1, 0, 0.948500,
22, 8, 6, 1, 0, 0.943400,
22, 8, 7, 1, 0, 0.534800,
22, 8, 8, 1, 0, 0.281900,
22, 8, 9, 1, 0, 0.174500,
23, 8, 4, 1, 0, 0.980600,
23, 8, 5, 1, 0, 0.972800,
23, 8, 6, 1, 0, 0.976800,
23, 8, 7, 1, 0, 0.535300,
23, 8, 8, 1, 0, 0.302300,
23, 8, 9, 1, 0, 0.169800,
24, 8, 4, 1, 0, 0.993500,
24, 8, 5, 1, 0, 0.980500,
24, 8, 6, 1, 0, 0.981500,
24, 8, 7, 1, 0, 0.520800,
24, 8, 8, 1, 0, 0.289800,
24, 8, 9, 1, 0, 0.170400,
25, 8, 4, 1, 0, 0.982200,
25, 8, 5, 1, 0, 0.952300,
25, 8, 6, 1, 0, 0.943100,
25, 8, 7, 1, 0, 0.520500,
25, 8, 8, 1, 0, 0.287100,
25, 8, 9, 1, 0, 0.177900,
